"Site","Type","Incubation_days","D_ppm_wt_mean_mean","D_ppm_wt_mean_sem","Tracer_Water_D_ppm_mean","Tracer_Water_D_ppm_sem","BP0_D_ppm_mean_mean","BP0_D_ppm_mean_sem","BP1_D_ppm_mean_mean","BP1_D_ppm_mean_sem","BP2_D_ppm_mean_mean","BP2_D_ppm_mean_sem","Delta_D_ppm_wt_mean","Delta_D_ppm_wt_mean_sem","Delta_BP0_D_ppm_mean","Delta_BP0_D_ppm_mean_sem","Delta_BP1_D_ppm_mean","Delta_BP1_D_ppm_mean_sem","Delta_BP2_D_ppm_mean","Delta_BP2_D_ppm_mean_sem","F0_wt","F0_wt_sem","F0_BP0","F0_BP0_sem","F0_BP1","F0_BP1_sem","F0_BP2","F0_BP2_sem","growth_wt_mu_day","growth_wt_mu_day_sem","growth_wt_mu_year","growth_wt_mu_year_sem","growth_wt_T_G_years","growth_wt_T_G_years_sem","growth_BP0_mu_day","growth_BP0_mu_day_sem","growth_BP0_mu_year","growth_BP0_mu_year_sem","growth_BP0_T_G_years","growth_BP0_T_G_years_sem","growth_BP1_mu_day","growth_BP1_mu_day_sem","growth_BP1_mu_year","growth_BP1_mu_year_sem","growth_BP1_T_G_years","growth_BP1_T_G_years_sem","growth_BP2_mu_day","growth_BP2_mu_day_sem","growth_BP2_mu_year","growth_BP2_mu_year_sem","growth_BP2_T_G_years","growth_BP2_T_G_years_sem"
"Beryl","Experimental",3,94.4516221052289,0.256346712805139,3556.28334613516,76.5498830716338,92.9244890967654,0.475506381912513,93.2221176381676,0.426587500186102,97.5104335849481,0.424350059539026,1.67595157612729,0.489964319655254,1.31322446447984,1.04406376254035,1.18520628154496,0.742599216227883,2.5359631116313,0.67033163828912,92.7756705291016,0.417554065205017,91.6112646322856,0.929496003762462,92.0369113566226,0.607845951394956,94.9744704733168,0.518913800414481,0.000247899836102641,8.25346855013981e-05,0.0904834401774641,0.0301251602080103,7.66048659512154,2.55044885005189,0.000194130804796208,0.00015738330551903,0.0708577437506158,0.0574449065144459,9.78223612368297,7.93053249910064,0.00017523428878837,0.000113278862899194,0.0639605154077549,0.0413467849582057,10.8371106164649,7.00556709667999,0.000375547299069123,0.00011594663205924,0.13707476416023,0.0423205207016227,5.05670890485508,1.56121044745951
"Beryl","Experimental",14,95.9539182540788,0.256429172067172,3754.66990603318,76.5194060903966,93.8536367608247,0.475505498199481,94.6222710306646,0.426586305499913,99.7227767246388,0.424348181742477,3.1782477249772,0.490007466939322,2.24237212853919,1.04406336006409,2.585359674042,0.742598529938825,4.74830625132205,0.67033044956107,92.7756705291016,0.417554065205017,91.6112646322856,0.929496003762462,92.0369113566226,0.607845951394956,94.9744704733168,0.518913800414481,9.52368488164231e-05,2.10848081781635e-05,0.0347614498179944,0.00769595498502966,19.9401113644326,4.41460871915974,6.71471568306677e-05,3.30248763134626e-05,0.0245087122431937,0.0120540798544139,28.2816646456992,13.9097248632345,7.74372026488038e-05,2.54141947813231e-05,0.0282645789668134,0.00927618109518295,24.5235275350748,8.04840159746086,0.000142462330462072,3.03028179035632e-05,0.0519987506186564,0.0110605285348006,13.3300737481807,2.83540776092896
"ETAT-3","Experimental",3,108.170767770636,0.268919022004293,3756.82022621933,76.5190761545925,106.870714723176,0.498396990707801,107.996640428374,0.432104828426689,108.806785635526,0.428504338263546,0.0354380869689805,0.581812808295124,0.0170762684784904,1.48420569820061,-0.0986848505849878,0.954192696742239,-0.0239399111590046,0.816102933631869,108.135329683667,0.515934786092693,106.853638454698,1.39802252994169,108.095325278959,0.85074621348941,108.830725546685,0.694555995130604,4.98142582162741e-06,8.17872115681292e-05,0.00181822042489401,0.0298523322223672,381.222854539406,6259.08231403403,2.39905399794169e-06,0.000208516615331019,0.000875654709248717,0.076108564595822,791.575918268792,68800.7570469715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETAT-3","Experimental",14,107.372081282421,0.438567705167314,3885.42218023075,76.4993216697146,105.656982557125,0.899490852635138,107.508280591687,0.718249336666465,108.584630911598,0.688306235861208,-0.763248401246017,0.677148680509855,-1.196655897573,1.66239309075768,-0.587044687271998,1.11339625892509,-0.246094635087005,0.977841247185497,108.135329683667,0.515934786092693,106.853638454698,1.39802252994169,108.095325278959,0.85074621348941,108.830725546685,0.694555995130604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
