"label_panel","FL_ppm","alpha_label","alpha","deltaH_permil","deltaH_ppm","generation_time_years","mu_day","detectable_fraction","incubation_time_days","TG_error_years"
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00148007528402351,1.2830653899136,0.000787613791002231,0.000614095063194739,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00151460888737144,1.25381105791135,0.000787613791002231,0.000628423331195159,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00154994824011135,1.22522373473625,0.000787613791002231,0.000643085911057368,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00158611214225308,1.19728821235775,0.000787613791002231,0.000658090603055686,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00162311983245449,1.16998962949358,0.000787613791002231,0.000673445389462998,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00166099099825611,1.14331346370385,0.000787613791002231,0.000689158438797208,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00169974578655466,1.11724552366528,0.000787613791002231,0.000705238110166763,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00173940481432088,1.09177194162162,0.000787613791002231,0.000721692957717582,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00177998917956746,1.06687916600627,0.000787613791002231,0.000738531735183725,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00182152047257282,1.04255395423297,0.000787613791002231,0.00075576340054426,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00186402078736692,1.01878336565101,0.000787613791002231,0.000773397120788764,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00190751273348484,0.995554754660935,0.000787613791002231,0.000791442276794034,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00195201944799481,0.972855763987329,0.000787613791002231,0.000809908468314568,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.0019975646078067,0.950674318104895,0.000787613791002231,0.000828805519089492,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00204417244226789,0.928998616814463,0.000787613791002231,0.000848143482068647,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.0020918677460528,0.907817128965465,0.000787613791002231,0.000867932644760606,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00214067589235339,0.887118586321525,0.000787613791002231,0.000888183534705474,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00219062284637727,0.866891977565935,0.000787613791002231,0.000908906925075387,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00224173517916081,0.847126542443792,0.000787613791002231,0.000930113840405674,NA
"0.37 at% ²H",3700,"0.56",0.56,10,1.55711246481141,0.00229404008170454,0.827811766037703,0.000787613791002231,0.000951815562459751,NA
