"Ft_minus_F0_ppm","F0_ppm","Ft_ppm","FL_ppm","t_days","alpha","mu_day","mu_day_sem","mu_sigma_ratio","mu_year","mu_year_sem","T_G_years","T_G_years_sem"
0.1,95,95.1,3700,14,0.66,3.04346370563401e-06,2.15260564472961e-05,0.141385102890794,0.00111086425255641,0.00785701060326309,623.971091845666,4413.27324511423
0.105,95,95.105,3700,14,0.66,3.19564029499982e-06,2.15266449267949e-05,0.148450457833404,0.00116640870767493,0.00785722539828012,594.257549689966,4003.06983463037
0.11,95,95.11,3700,14,0.66,3.34781720858224e-06,2.15272609812972e-05,0.155515242347403,0.00122195328113252,0.0078574502581735,567.245238637544,3647.52181249464
0.115,95,95.115,3700,14,0.66,3.49999444635095e-06,2.15279046087886e-05,0.16257942934781,0.0012774979729181,0.00785768518220783,542.581824201756,3337.33379664531
0.12,95,95.12,3700,14,0.66,3.6521720083549e-06,2.15285758071487e-05,0.169642991764563,0.00133304278304954,0.00785793016960926,519.973694298292,3065.10566036191
0.125,95,95.125,3700,14,0.66,3.80434989457169e-06,2.15292745741514e-05,0.176705902536042,0.00138858771151867,0.00785818521956525,499.174214786811,2824.88704464751
0.13,95,95.13,3700,14,0.66,3.95652810499476e-06,2.15300009074652e-05,0.183768134613636,0.00144413275832309,0.00785845033122478,479.974695238421,2611.8494169163
0.135,95,95.135,3700,14,0.66,4.10870663964137e-06,2.15307548046528e-05,0.190829660962628,0.0014996779234691,0.00785872550369829,462.197362321996,2422.04152116852
0.14,95,95.14,3700,14,0.66,4.26088549848116e-06,2.15315362631716e-05,0.197890454559397,0.00155522320694562,0.00785901073605763,445.689838901806,2252.2048367322
0.145,95,95.145,3700,14,0.66,4.41306468156311e-06,2.15323452803734e-05,0.204950488397824,0.00161076860877053,0.0078593060273363,430.3207653699,2099.63278806448
0.15,95,95.15,3700,14,0.66,4.56524418885687e-06,2.15331818535047e-05,0.212009735482443,0.00166631412893276,0.00785961137652921,415.976296740575,1962.06224112299
0.155,95,95.155,3700,14,0.66,4.71742402037968e-06,2.15340459797064e-05,0.219068168834847,0.00172185976743858,0.00785992678259284,402.557277699253,1837.58909311346
0.16,95,95.16,3700,14,0.66,4.86960417610915e-06,2.15349376560142e-05,0.226125761490151,0.00177740552427984,0.00786025224444519,389.976947349025,1724.60203021145
0.165,95,95.165,3700,14,0.66,5.02178465607042e-06,2.15358568793589e-05,0.233182486501551,0.0018329513994657,0.00786058776096598,378.159061261523,1621.73011762188
0.17,95,95.17,3700,14,0.66,5.1739654602649e-06,2.15368036465656e-05,0.240238316937527,0.00188849739299669,0.00786093333099644,367.03634494303,1527.8010170146
0.175,95,95.175,3700,14,0.66,5.3261465886781e-06,2.15377779543545e-05,0.247293225882722,0.00194404350486751,0.0078612889533394,356.549212414454,1441.8074378776
