"","ID_Fraction","ID","Fraction","Site","BP0_RelAbund","BP1_RelAbund","BP2_RelAbund","BP3_RelAbund","BP4_RelAbund","BP0_ug","BP1_ug","BP2_ug","BP3_ug","BP4_ug","Total_BP_ug","RI_BP","BP_ug_sediment_g","BP_CL_IPL_Total_ug","BP_IPL_Percent","BP_CL_percent"
"1","B01_CL","B01","CL","Beryl",43.9205599662364,0,52.682375237898,3.39706479586555,0,34.2772455211726,0,41.1152934310532,2.65119625407166,0,78.0437352062975,1.15555944863393,7.54614445730091,101.474749481815,23.0904874317689,76.9095125682311
"2","B02_CL","B02","CL","Beryl",31.6766235648379,30.5204425049516,35.6338867329029,2.16904719730761,0,25.9996531967095,25.0506787415211,29.2477099148506,1.78031837205946,0,82.0783602251407,1.0829535756268,6.98842563369128,93.3778979389121,12.1008696524348,87.8991303475652
"3","B04_CL","B04","CL","Beryl",31.5958471583003,31.5851439580435,35.0315744407578,1.78743444289843,0,2.63026416833322,2.62937315743609,2.91627866631254,0.148798819821019,0,8.32471481190287,1.07010596168254,0.736322490394565,68.8985699753582,87.9174345492508,12.0825654507492
"4","B05_CL","B05","CL","Beryl",0,0,94.7774286592195,2.79713348333317,2.42543785744729,0,0,53.8024059965593,1.58785180634062,1.37685094617842,56.7671087490784,2.07648009198228,4.9495264490181,93.4371613806573,39.245683505075,60.754316494925
"5","B01_IPL","B01","IPL","Beryl",34.4306504858883,35.2257404565955,29.4694750546334,0.753243130143674,0.120890872739108,8.06745063050202,8.25374827504164,6.90499690697121,0.176492505353319,0.0283259576492981,23.4310142755175,0.969079834472497,2.26557350230294,101.474749481815,23.0904874317689,76.9095125682311
"6","B02_IPL","B02","IPL","Beryl",34.3813831339364,34.4105631747884,30.1429822001751,0.926466297052816,0.138605194047272,3.88493735373537,3.88823456345634,3.40601764176418,0.104686408640864,0.0156617461746175,11.2995377137714,0.980303472424861,0.962080367970044,93.3778979389121,12.1008696524348,87.8991303475652
"7","B04_IPL","B04","IPL","Beryl",32.6563343862003,34.1619887730553,31.9296924864573,1.0670507176407,0.184933636646318,19.7812006927906,20.6932336003464,19.3410456808833,0.646353756224291,0.112021433210652,60.5738551634553,1.01962260445477,5.35776815116624,68.8985699753582,87.9174345492508,12.0825654507492
"8","B05_IPL","B05","IPL","Beryl",34.3232692592776,35.390621139497,29.6733705588773,0.612739042348174,0,12.5863609022556,12.9777593984962,10.8812406015038,0.224691729323308,0,36.6700526315789,0.965755793842961,3.19726333411039,93.4371613806573,39.245683505075,60.754316494925
"9","B10_IPL","B10","IPL","Beryl",33.6284707298203,35.5110461617811,30.0137539757586,0.739276197025703,0.107452935614201,6.77882611163671,7.1583156102176,6.05017161778619,0.149023273415326,0.0216603595080416,20.1579969725639,0.981861944468323,1.76021629170135,20.1579969725639,NA,NA
"10","B11_IPL","B11","IPL","Beryl",33.7927967985771,33.1925300133393,31.8096931969764,1.06714095153402,0.137839039573144,6.75735922330097,6.63732718446602,6.36080893203883,0.213390291262136,0.0275629126213592,19.9964485436893,1.00564695420187,1.71538792184071,19.9964485436893,NA,NA
"11","B13_IPL","B13","IPL","Beryl",34.9007688181656,35.7113057989153,28.7561833243936,0.631742058525538,0,5.38662595419847,5.51172519083969,4.43826335877863,0.0975038167938931,0,15.4341183206107,0.951188986232791,1.36704885878873,15.4341183206107,NA,NA
"12","B14_IPL","B14","IPL","Beryl",33.9012107575271,35.1226829529626,30.1510768241723,0.750026786670953,0.0750026786670953,2.8164766718507,2.91795528771384,2.50491951788491,0.0623114307931571,0.00623114307931571,8.30789405132193,0.979749276759884,0.693237266677953,8.30789405132193,NA,NA
"13","B15_IPL","B15","IPL","Beryl",30.5834898883855,35.3823626920102,31.8985523262239,1.04983976129959,1.08575533208089,6.18240395170143,7.15248847420417,6.44824173679717,0.212223441883156,0.219483717526528,20.2148413221125,1.0667200795668,1.48127716346661,20.2148413221125,NA,NA
"14","B16_IPL","B16","IPL","Beryl",38.390441839495,35.1668169522092,26.0595130748422,0.383228133453562,0,1.33894866071429,1.22651785714286,0.908881181318681,0.0133658997252747,0,3.4877135989011,0.884355275022543,0.273351066995407,3.4877135989011,NA,NA
"15","E01_CL","E01","CL","ETAT-3",21.8651873560812,32.6669457818715,44.3793175633243,1.08854929872305,0,1.30819625273523,1.95446649343545,2.65521881838074,0.0651280087527352,0,5.98300957330416,1.24691228804689,0.596368722668968,8.08901762807661,26.0353994960104,73.9646005039896
"16","E02_CL","E02","CL","ETAT-3",20.8115551059405,32.4846849884786,45.5291406732985,1.02849435171135,0.146124880571011,1.92092862807296,2.99837090744307,4.20238801404781,0.0949311204259658,0.0134874815905744,9.23010615158038,1.27212948912494,0.812681037506197,9.72682238721256,5.10666501205158,94.8933349879484
"17","E04_CL","E04","CL","ETAT-3",21.2269135926727,34.2509184238337,43.4754164360123,0.900810225957426,0.145941321523829,2.26373909985935,3.6526809657759,4.63642533989686,0.0960666901078293,0.0155638771683075,10.6644759728082,1.24487947259826,0.927063586978593,11.6445641518442,8.41670127156059,91.5832987284394
"18","E05_CL","E05","CL","ETAT-3",21.0955710955711,33.5410965845748,44.3447856491335,0.891861761426979,0.126684909293605,2.55802160493827,4.06714989264627,5.37719122383253,0.108146001073537,0.0153616478797638,12.1258703703704,1.25412992804297,1.0475370927097,17.2836359064984,29.8419011140406,70.1580988859594
"19","E01_IPL","E01","IPL","ETAT-3",22.4168126094571,35.4640980735552,41.199649737303,0.919439579684764,0,0.472099879178413,0.746876761981474,0.867667942005638,0.0193634716069271,0,2.10600805477245,1.20621716287215,0.209920662530646,8.08901762807661,26.0353994960104,73.9646005039896
"20","E02_IPL","E02","IPL","ETAT-3",19.6467991169978,35.3200883002207,44.1501103752759,0.883002207505519,0,0.0975888409961686,0.17544061302682,0.219300766283525,0.0043860153256705,0,0.496716235632184,1.26269315673289,0.0437342603747432,9.72682238721256,5.10666501205158,94.8933349879484
"21","E04_IPL","E04","IPL","ETAT-3",20.822162645219,35.2100089365505,43.43163538874,0.536193029490617,0,0.204075554705432,0.345089135424637,0.425668324407039,0.00525516449885233,0,0.98008817903596,1.23681858802502,0.085199128876947,11.6445641518442,8.41670127156059,91.5832987284394
"22","E05_IPL","E05","IPL","ETAT-3",15.4853188703946,31.3072751075369,51.3933046568169,1.7205909855994,0.0935103796521414,0.798696439856751,1.61475584579735,2.65074615546661,0.0887440488729724,0.00482304613440067,5.15776553612808,1.39629698896578,0.445572198082871,17.2836359064984,29.8419011140406,70.1580988859594
"23","E11_IPL","E11","IPL","ETAT-3",26.9230769230769,38.9140271493213,33.710407239819,0.452488687782805,0,0.104990558766859,0.15175105973025,0.131458766859345,0.0017645472061657,0,0.38996493256262,1.07692307692308,0.0346478425391707,0.38996493256262,NA,NA
"24","E13_IPL","E13","IPL","ETAT-3",16.7723190702588,32.6201796090861,49.0755414685684,1.47913365029054,0.0528262017960909,0.545528142589118,1.06098780487805,1.59620675422139,0.0481095684803002,0.00171819887429644,3.25255046904315,1.35419968304279,0.244948636445619,3.25255046904315,NA,NA
"25","E14_IPL","E14","IPL","ETAT-3",24.2944785276074,36.441717791411,39.2638036809816,0,0,0.183567928730512,0.275351893095768,0.296675440372545,0,0,0.755595262198826,1.14969325153374,0.0632429597990229,0.755595262198826,NA,NA
"26","E16_IPL","E16","IPL","ETAT-3",15.0197628458498,32.4110671936759,49.3083003952569,2.17391304347826,1.08695652173913,0.111629190056135,0.24088404170008,0.366466880513232,0.0161568564554932,0.00807842822774659,0.743215396952686,1.41897233201581,0.0555658445319532,0.743215396952686,NA,NA
