,Site,ID,Fraction,ID_Fraction,Water_d2H_permil,BP0_d2H_mean,BP1_d2H_mean,BP2_d2H_mean,BP3_d2H_mean,BP4_d2H_mean,BP0_d2H_sem,BP1_d2H_sem,BP2_d2H_sem,BP3_d2H_sem,BP4_d2H_sem,BP0_eps_LW_mean,BP0_eps_LW_sem,BP1_eps_LW_mean,BP1_eps_LW_sem,BP2_eps_LW_mean,BP2_eps_LW_sem,BP3_eps_LW_mean,BP3_eps_LW_sem,BP4_eps_LW_mean,BP4_eps_LW_sem,RingDiff_BP1,RingDiff_BP2,RingDiff_BP3,RingDiff_BP4,RingDiff_all,RingDiffAll_BPs,RingDiff_BP1_sem,RingDiff_BP2_sem,RingDiff_BP3_sem,RingDiff_BP4_sem,RingDiff_all_sem
16,ETAT-3,E05,CL,E05_CL,-68.45286242,-313.8457935,-300.7254664,-297.7623444,NA,NA,9.286442154,8.696519072,4.962949829,NA,NA,-263.4251357,9.970091869,-249.3406878,9.336956254,-246.1598267,5.330099971,NA,NA,NA,NA,14.08444787,5.906757791,NA,NA,8.632654485,"0,1,2",13.6594833,7.800663679,NA,NA,6.912009672
17,ETAT-3,E13,IPL,E13_IPL,-68.45286242,-319.7057556,-308.2882505,-302.1716135,NA,NA,8.215867935,5.755515101,4.647580114,NA,NA,-269.7157052,8.820987965,-257.4592078,6.180503928,-250.8931021,4.991689795,NA,NA,NA,NA,12.25649743,7.988703616,NA,NA,9.411301554,"0,1,2",10.77072224,6.438990439,NA,NA,5.596138043
18,ETAT-3,E14,IPL,E14_IPL,-68.45286242,-310.8760483,-305.6629677,-300.5490539,NA,NA,15.36678833,8.696519072,6.991268248,NA,NA,-260.2371647,16.49675034,-254.6410114,9.336936681,-249.151312,7.506738601,NA,NA,NA,NA,5.596153296,5.5163129,NA,NA,5.542926365,"0,1,2",18.95576847,10.86304984,NA,NA,9.611015473
19,ETAT-3,E16,IPL,E16_IPL,-68.45286242,-320.7654678,-300.5564923,-306.9864933,NA,NA,15.36678833,6.614516351,5.540091261,NA,NA,-270.8532882,16.49672856,-249.1592969,7.102400387,-256.0617937,5.949338083,NA,NA,NA,NA,21.69399129,0.246625278,NA,NA,7.395747283,"0,1,2",17.96068329,9.916846671,NA,NA,8.919152525
20,Beryl,B04,IPL,B04_IPL,-138.605303,-401.4380581,-400.0548196,-373.9488592,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-305.1246497,5.015552032,-303.518837,4.500145402,-273.2122185,4.476870869,NA,NA,NA,NA,1.60581268,23.13141701,NA,NA,15.95621557,"0,1,2",6.738476892,4.623089237,NA,NA,3.813701719
21,Beryl,B05,IPL,B05_IPL,-138.605303,-405.2757972,-402.8366948,-373.8690299,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-309.5799116,5.015518864,-306.7483381,4.50011852,-273.1195441,4.47687168,NA,NA,NA,NA,2.83157349,25.92948887,NA,NA,18.23018374,"0,1,2",6.738434252,4.623074092,NA,NA,3.813685188
22,Beryl,B10,IPL,B10_IPL,-138.605303,-399.0096082,-395.4459074,-363.1359437,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-302.3054427,5.015573131,-298.1683139,4.500190214,-260.6594184,4.476981673,NA,NA,NA,NA,4.137128789,29.16595386,NA,NA,20.82301217,"0,1,2",6.738522523,4.623159515,NA,NA,3.813748541
23,Beryl,B11,IPL,B11_IPL,-138.605303,-395.7715146,-389.4638837,-356.2692613,NA,NA,4.318134111,3.873897812,3.85361237,NA,NA,-298.5463139,5.015601396,-291.2237347,4.500248888,-252.6878318,4.477053023,NA,NA,NA,NA,7.322579217,30.73257198,NA,NA,22.92924106,"0,1,2",6.738582746,4.623216006,NA,NA,3.8137908
24,ETAT-3,E04,IPL,E04_IPL,-68.45286242,-319.3338407,-311.3087934,-305.3749668,NA,NA,4.724982886,4.071059053,4.002723712,NA,NA,-269.3164609,5.074614103,-260.7017092,4.373094086,-254.3318473,4.299837121,NA,NA,NA,NA,8.614751691,6.931084328,NA,NA,7.492306783,"0,1,2",6.698929778,4.523628486,NA,NA,3.752458733
25,ETAT-3,E05,IPL,E05_IPL,-68.45286242,-308.2709611,-301.8357173,-297.3648094,NA,NA,4.318134111,3.771454027,3.77684973,NA,NA,-257.4406479,4.638184196,-250.5325233,4.051788041,-245.7330797,4.057616667,NA,NA,NA,NA,6.908124662,5.326613841,NA,NA,5.853784115,"0,1,2",6.158712444,4.208866979,NA,NA,3.476715947
26,ETAT-3,E11,IPL,E11_IPL,-68.45286242,-321.5963846,-309.70827,-302.7964637,NA,NA,5.776071891,4.612248312,4.419977781,NA,NA,-271.7452633,6.202485899,-258.9835745,4.95372546,-251.5638681,4.747491065,NA,NA,NA,NA,12.7616888,8.755202028,NA,NA,10.09069762,"0,1,2",7.937898164,5.198258605,NA,NA,4.360145224
