"","ID","ID_Fraction","Fraction","GDGT0_RelAbund","GDGT1_RelAbund","GDGT2_RelAbund","GDGT3_RelAbund","GDGT4_RelAbund","Cren_RelAbund","GDGT5_RelAbund","GDGT6_RelAbund","GDGT7_RelAbund","GDGT8_RelAbund","Total_GDGT_ng","Total_GDGT_ug","GDGT0_ug","GDGT1_ug","GDGT2_ug","GDGT3_ug","GDGT4_ug","Cren_ug","GDGT5_ug","GDGT6_ug","GDGT7_ug","GDGT8_ug","RI_GDGT","GDGT_ug_sediment_g"
"1","B01","B01_IPL","IPL",0.198178982081243,0.196270847835324,0.219199504623998,0.197543727891191,0.157921645167375,0.000154654344464672,0.0236637487695311,0.00669796157004051,0.000358445722007463,1.04819948247399e-05,6527.96501257864,6.52796501257864,0.012937054612548,0.0128124922765814,0.0143092669696003,0.0128955854412805,0.0103090697438148,1.00957814970866e-05,0.0015447612403395,0.000437240587848207,2.33992113217321e-05,6.84260954779326e-07,2.0207057280848,0.631196941905846
"2","B02","B02_IPL","IPL",0.176932509872991,0.193614258615633,0.217476050979612,0.214673494074531,0.176345475836804,0,0.0135803141162746,0.00676495606047091,0.00060425845016197,8.68199352156824e-06,3496.21061390829,3.49621061390829,0.00618593318963383,0.00676916225975961,0.00760342077705781,0.00750543748508152,0.00616540924335341,0,0.000474796383535276,0.000236517111812416,2.11261480700005e-05,3.03540778999899e-07,2.09075931818917,0.297679044854216
"3","B04","B04_IPL","IPL",0.208901009603628,0.210211098321886,0.221469491466503,0.18108378310703,0.145023795477521,0.0073738305616165,0.017891041249777,0.00772803727022359,0.000298231162889844,1.96817789251913e-05,9214.77434070887,9.21477434070887,0.0192497566304369,0.0193704783494874,0.0204079138721537,0.0166864619809315,0.0133636154935847,0.000679481846519186,0.00164861907837009,0.000712121195416982,2.7481328673971e-05,1.81363151419358e-06,1.94406043697439,0.81504841238204
"4","B05","B05_IPL","IPL",0.210741407847476,0.224697528033713,0.218579636091446,0.185283241716076,0.144960277410257,6.16646874067575e-05,0.0116706571715598,0.00398304963656183,2.18925780222731e-05,6.44827482125018e-07,7517.2906235983,7.5172906235983,0.0158420440921574,0.0168911662063354,0.0164312664889975,0.0139282797566215,0.0108970853417033,4.63551376449938e-06,0.000877317217269965,0.000299417416862529,1.64572871493228e-06,4.84735558521689e-08,1.88020428409867,0.655432865727191
"5","B10","B10_IPL","IPL",0.203750321140467,0.208031573668973,0.21592990858165,0.204713295302667,0.149926778550766,9.0137046323896e-05,0.0111003081451498,0.00623106351758164,0.000224993566517599,1.62047990521517e-06,5514.19481924031,5.51419481924031,0.0112351896525131,0.0114712662576386,0.0119067958321997,0.0112882899238758,0.00826725465550021,4.97033233860851e-06,0.000612092616659562,0.00034359298167006,1.24065835885375e-05,8.93564189802053e-08,1.94857477976473,0.481504961512427
"6","B11","B11_IPL","IPL",0.215053784459112,0.202050106985537,0.204279846625455,0.191155251830463,0.17169529109028,7.1645827091054e-05,0.0103103263675068,0.00532235777033884,5.98614940801058e-05,1.5275501355867e-06,4501.73581141352,4.50173581141352,0.00968115322879589,0.00909576202316723,0.00919613901103871,0.00860530442704965,0.00772926840552183,3.22530585554139e-06,0.000464143654359664,0.000239598485758894,2.6948063162513e-06,6.8766271491002e-08,1.95506033271653,0.386179736934016
"7","B13","B13_IPL","IPL",0.198045659035693,0.20065242408635,0.216291729527056,0.194269733025635,0.171713585237943,0.000143915656397541,0.0143369868108363,0.00446115277288345,6.64287797548413e-05,1.83850674515609e-05,5542.77383038103,5.54277383038103,0.0109772229612361,0.0111217100522834,0.0119885613815042,0.010767931922496,0.00951769566577771,7.97691934062397e-06,0.000794666753016215,0.000247271608428702,3.6819970200928e-06,1.01904270740302e-06,2.0025390184841,0.490941074957798
"8","B14","B14_IPL","IPL",0.208415535913746,0.202087501120179,0.220165983954247,0.184819772828953,0.168629579189504,0.00016862943094968,0.0118199825382034,0.0038810453215191,1.07884994866607e-05,1.18120321093059e-06,4032.06800863668,4.03206800863668,0.00840345614860684,0.00814830548212005,0.00887724220491937,0.0074520589338712,0.00679925931559864,6.79925333846812e-06,0.00047658973454934,0.000156486386809662,4.34999636413577e-07,4.76269167849214e-08,1.95454277573957,0.336448658119581
"9","B15","B15_IPL","IPL",0.189619756418258,0.203445663189793,0.21218048920939,0.182313582560548,0.182181975735989,0,0.020883895706474,0.00919409150663132,0.000171161813018856,9.38385989696683e-06,10348.1756639183,10.3481756639183,0.0196221854876553,0.0210529146075033,0.0219568097479489,0.0188661297825482,0.0188525108771571,0,0.00216110221317542,0.0009514207398076,1.77121250807386e-05,9.71058306194108e-07,2.06433252337664,0.75828031742874
"10","B16","B16_IPL","IPL",0.180214869744545,0.194414535271508,0.218867678322115,0.206128986450702,0.182390825973315,0,0.012078030983641,0.00580669744546948,9.58481312158659e-05,2.5276774885886e-06,3271.47043040586,3.27147043040586,0.00589567617488722,0.00636021403381836,0.0071601913780238,0.00674344884023003,0.00596686193949002,0,0.000395129212205075,0.000189964389911667,3.13564327082366e-06,8.26922216152016e-08,2.07602165309055,0.2564029148142
